id;vendor_name;trx_day;trx_month;trx_week;tool_id
1;Senior;Mall invoice;digital Awesome Metal Ball;RSS;Investment Account Data
2;fuchsia Configurable;Developer generate Somali Shilling;Electronics;Gourde US Dollar users Creative;Wooden Kentucky Forges
3;Orchestrator Beauty Data;Regional port;Response;static backing up navigating;Wisconsin Niue
4;Vermont cross-platform Knoll;copy;Maryland Small Cotton Chair Phased;Usability Frozen Pa'anga;Rubber
5;online Ohio;Republic of Korea engage;program;Steel District ADP;Self-enabling Sausages
6;Web online;Paradigm New Jersey;Florida Fantastic Soft Keyboard Handmade;ADP calculating Iceland Krona;Granite Cambridgeshire
7;holistic;open-source connecting Fresh;New York;Avon infrastructures haptic;generate Auto Loan Account
8;Buckinghamshire Frozen Self-enabling;Investment Account Pants;reboot Tuna;West Virginia;Surinam Dollar withdrawal infrastructures
9;e-markets Soft Functionality;Metal;Concrete hacking;cultivate Manager Robust;Small efficient
10;Swiss Franc productize;Hills Cook Islands;Sleek Plastic Bike;encryption Customer;Luxembourg
