id;detail_org;accounting_date;trx_week;trx_typ;cost_group;mo_no;part_no;tool_id;station_family;trx_qty;trx_uom;unit_cost;accounted_amt;part_descr;natural_account;vendor_name;supplier_classification;description;gl_line_descr;summary_org;cost_center_id;cost_center;summary_account;parent_account;account_id;trx_date;created_by;org_code;lot_no;po_item_cat;mo_line_no;po_no;po_line_no;je_batch_name;je_name;je_line_no;trx_acc;trx_natural_acc;gl_acc;currency;entered_amt;source;period;trx_id;unique_id;entity_review;part_lifetime;part_fixed_problem;return_to_stores;repeat_fail;warranty_claim;submit_for_warranty;repairable_part;submit_for_repair;part_sourcing;comment_followup;followup_complete
1;Incredible Car Industrial;2020-09-15;panel program;Brand Village Mouse;generating Shoes Open-source;Fall Springs Executive;Identity Paradigm;Savings Account;actuating Martinique;33804;Fantastic Steel Chair back up mobile;Djibouti Gloves Sports;Outdoors asynchronous;card;Automotive;Chair invoice;driver Pre-emptive deliver;Alabama Ergonomic Rubber Mouse index;Buckinghamshire array Palestinian Territory;structure Manors;array system;Robust;Tactics Cambridgeshire generating;Kenyan Shilling;copying;2020-09-14;executive;Gateway enterprise;Internal Diverse;Diverse;15789;COM;Gorgeous Wooden Soap Small Soft Table;synthesizing Rustic Rubber Sausages;Towels azure efficient;78631;Tasty Rubber Pants Global Right-sized;Towels efficient invoice;Division Rustic;Awesome white;non-volatile indexing;Buckinghamshire;Liaison;deposit;Practical;Frozen infrastructures Car;Cheese Fish Buckinghamshire;Dynamic copying firewall;payment Small Burgs;intuitive auxiliary models;Pennsylvania;Forges;Metal Principal;Buckinghamshire open system transmitting;Tactics Auto Loan Account Frozen;Greece contingency;withdrawal Synchronised
2;collaborative Terrace program;2020-09-15;sky blue;Salad Technician;Towels Ethiopia;brand XSS Centralized;Cotton;Crest;utilize olive;23126;Administrator Pakistan Rupee;Rand sky blue Handmade;viral;quantifying cross-platform intuitive;Synergized;Circles Tugrik Small;HTTP;Crossing;Baby Nicaragua Orchestrator;array;product Senior Investor;Handcrafted Rubber Soap Florida optical;withdrawal Dynamic;bypass withdrawal;Program deposit architectures;2020-09-15;Product;Intelligent;Wooden brand Pizza;reboot;9033;hack Cotton;parsing USB Uganda Shilling;Frozen;Fall;21193;markets Fantastic Avon;wireless;optimizing;Micronesia markets revolutionary;calculate navigating;e-commerce RAM;Supervisor;Principal;Practical withdrawal;Prairie eyeballs;Soap Chair JSON;Gorgeous sticky interactive;Won Salad Andorra;compressing index;AGP;Uzbekistan Sum;Pizza;Security Reduced;FTP;Metrics sensor systems;incubate proactive
3;Central;2020-09-15;Enterprise-wide programming green;protocol Mission neutral;next generation;Assistant;East Caribbean Dollar;applications Money Market Account Springs;Direct Hat;5620;Handmade Arizona;matrix Kina e-tailers;Berkshire Granite;interfaces transmitter deposit;back-end;Personal Loan Account Arkansas;Sports Sierra Leone;Buckinghamshire;harness;Response Cyprus Borders;Saint Kitts and Nevis Steel;real-time paradigm Officer;Analyst;Beauty Rustic Soft Soap Practical;open-source Small;2020-09-15;Mouse;Fantastic Metal Mouse 24 hour tan;USB;payment Viaduct;71303;Maine synthesizing;Ball Table whiteboard;Credit Card Account;Internal unleash;12793;overriding indexing indexing;open-source Shoes Martinique;Buckinghamshire Branding copy;web-enabled JSON;Avon Yen Awesome;integrate;Handmade Cotton Chips;Shirt;Rwanda compress USB;North Dakota;California Checking Account Research;Paradigm;sticky Plastic;azure;niches;synthesizing Savings Account;auxiliary pixel;backing up yellow Human;niches approach card;Metal back up Auto Loan Account;Solutions portals Associate
4;Operative Creative;2020-09-15;Burg Beauty;unleash Director magnetic;Incredible Wooden Keyboard;moratorium Cuba;San Marino Savings Account;Mongolia United Kingdom;microchip;11149;Prairie Somoni Assistant;Internal Soft array;tan Som;Texas Strategist Awesome Cotton Chair;Bedfordshire Crescent Directives;Steel networks;data-warehouse Bacon Self-enabling;Brook connect circuit;Future Dong Greens;orchid bluetooth Intelligent Plastic Gloves;CFA Franc BCEAO;Hat;website;Personal Loan Account;context-sensitive Practical Ports;2020-09-15;Public-key circuit;Pizza;viral;front-end productize;94580;Walks;indigo sensor;Handcrafted Wooden Fish Towels Prairie;haptic;64089;Granite;Tuna 3rd generation calculate;Rubber Small Forest;Unbranded Investment Account;Usability moratorium;Towels;microchip USB Global;Virginia Norway Representative;red;UIC-Franc Rhode Island;Salad;invoice Tasty Agent;wireless;Checking Account;withdrawal;Dynamic;firewall matrix;navigating Ergonomic Soft Pants payment;Lead Rhode Island;Harbors;Electronics Plain
5;Group Tools;2020-09-15;reinvent neural-net;navigate;Reverse-engineered bypass;solutions generating engineer;Maine;Future;high-level Dominican Peso;96880;payment Credit Card Account Public-key;capacitor;bluetooth;Intuitive Chicken;Regional Investment Account Quality-focused;facilitate Baby;Sausages Colorado;Fort vortals;turquoise Indian Rupee Ngultrum Spring;Pa'anga synergistic Business-focused;wireless capacitor Algerian Dinar;Valley Checking Account task-force;Compatible Books parsing;Strategist invoice Markets;microchip Cambridgeshire Producer;2020-09-15;digital generating;Legacy;Virginia;Polarised Tools;39947;vortals USB;calculating applications Small Metal Shoes;bricks-and-clicks;Grenada Engineer Rustic Granite Mouse;12171;cutting-edge;payment South Carolina French Polynesia;supply-chains;withdrawal;Handcrafted Gateway;online Sports SAS;multi-byte Bermudian Dollar (customarily known as Bermuda Dollar);Home Loan Account;Outdoors;vortals Games Summit;encryption;Liaison Botswana;wireless indigo;payment redundant;communities Keyboard CFA Franc BEAC;functionalities Producer;Fish;Indian Rupee Car;Outdoors transmitting Gateway;Unbranded Metal Towels;conglomeration invoice
6;needs-based Handmade Plastic Pants;2020-09-15;compress Auto Loan Account Rustic;system;Customizable invoice Analyst;Tokelau;index compressing Locks;Fresh Unions;withdrawal;57761;Money Market Account plug-and-play Consultant;Games;SSL;reboot Toys withdrawal;Georgia revolutionary;Functionality;Texas;Bedfordshire Mobility exploit;Somalia 4th generation Optimization;content Chief;conglomeration;well-modulated Engineer;scalable reboot;Ball didactic;Berkshire;2020-09-15;Money Market Account platforms microchip;Corporate;Extension synthesize;Personal Loan Account;3661;generating implement deposit;portals SDD;cross-platform Bacon RSS;online Moroccan Dirham Aruban Guilder;94565;1080p collaborative;Digitized protocol;embrace;Louisiana 1080p;robust;Dale bandwidth-monitored Handcrafted;Hat Cotton;Personal Loan Account Generic Computers;Refined;CSS;Gorgeous digital;Directives open-source;Shoes online;Jewelery Awesome payment;Australian Dollar parse green;calculating Concrete capability;Grocery;Salad capacity Re-engineered;Gorgeous Markets standardization;Investment Account;circuit
7;Leone National;2020-09-15;green Crescent;Licensed Metal Chair sensor;cross-platform Agent;Applications Gloves;interface 1080p extranet;orchestration overriding Bedfordshire;repurpose;48227;Creative Brand;Bedfordshire Towels client-driven;sky blue cyan;migration;Customizable;Minnesota;Car Response;SMTP Sri Lanka;Configurable Pants Jewelery;Total;Cheese niches;payment connect leading edge;artificial intelligence ROI Generic Frozen Table;Utah heuristic;invoice Rand Avon;2020-09-15;Bridge demand-driven;Corporate Toys bottom-line;Lebanon directional;grey Total Brazil;82692;connecting reinvent Vatu;Games Technician Dynamic;Salad leading-edge;Baby;90603;digital Fresh incentivize;Credit Card Account Afghani;deliver grow PNG;Bosnia and Herzegovina;ability Algerian Dinar;invoice Configuration program;Mandatory JSON;Money Market Account Engineer Architect;program turquoise;Awesome Ouguiya;Sausages New Hampshire;synthesizing;Tasty;lime;overriding;Unbranded Graphic Interface card;Plains Plastic;calculating;District XML;moderator tangible Identity;Consultant Sleek Granite Chicken
8;Kuwait;2020-09-14;Fresh Bacon Hollow;Focused;innovate Personal Loan Account Producer;hack;back up Optional Passage;Fresh;Shoes Soft;99981;synthesize infomediaries bleeding-edge;grow New Zealand Egypt;dynamic USB;Music;regional;Licensed;success;Personal Loan Account dot-com Texas;calculating;Berkshire;parse Identity benchmark;ivory;Small Fresh Computer Islands Unbranded;parse;Wooden red hack;2020-09-15;invoice;Philippine Peso Supervisor back-end;didactic;monetize Credit Card Account;54406;Bedfordshire copying Colorado;Texas quantifying Director;Data;Soap Thailand;39525;Faroe Islands;magenta vortals Massachusetts;Customer;IB Reunion;Cambridgeshire Vermont;Nauru Chips;Fish supply-chains;firewall magenta;Lake;Incredible;New Israeli Sheqel TCP;robust schemas;Checking Account rich;Utah pixel;Books;granular Taiwan Arkansas;Dobra white;Handmade Granite Soap Bedfordshire;Multi-lateral Tactics Awesome Granite Table;Belarussian Ruble;task-force Aruba Iowa
9;Shoes Games;2020-09-14;Integrated Quality;Future invoice orchid;Cambridgeshire;Buckinghamshire data-warehouse;algorithm PCI compressing;optimal Berkshire Minnesota;Mobility;53601;Lead zero administration synthesize;Gorgeous Concrete Chair Small;Mouse complexity deposit;Luxembourg;indigo Colombia;Borders systems;Personal Loan Account Maine overriding;streamline Principal;Toys Generic Granite Car;Credit Card Account multi-state Principal;portals;Strategist sexy Granite;middleware Alaska harness;e-commerce payment Credit Card Account;deposit sky blue;2020-09-14;contingency;Shoes Madagascar;Rustic;THX;65705;Agent Direct contextually-based;synthesize SCSI Cotton;ivory customer loyalty Soft;backing up;22672;disintermediate calculating;monitoring;Tonga cross-platform Passage;niches Buckinghamshire;Borders invoice;withdrawal deploy International;functionalities back up Assistant;Games;optical driver Wooden;Bacon directional;Shoes Iowa;input;maroon Robust;Specialist Monitored;payment;Albania seize Reverse-engineered;Fish Small Fresh Tuna Nuevo Sol;overriding Product transmit;Refined;Sri Lanka;Cambridgeshire Music reinvent
10;Gibraltar Pound Intelligent Granite;2020-09-15;Wooden Lead;Turkey;Libyan Dinar;Corporate deposit River;Senior Generic Steel Shoes;Credit Card Account;challenge;37171;Home;Bacon;Cambridgeshire;Lake haptic;firewall;contextually-based;SDD Direct;Operations TCP;Baby payment;Granite;transmit;niches;Gorgeous Frozen Mouse Illinois Ferry;Grocery;reboot;2020-09-15;wireless adapter Netherlands Antillian Guilder;supply-chains;distributed Associate;system Bedfordshire Wooden;605;Table;intranet Borders Plastic;Realigned Corporate;Borders Administrator redundant;70773;Maldives Designer Arizona;quantifying Ergonomic Granite Shirt didactic;Rustic Fresh Tuna SQL;Glens;rich capacitor Macao;bypassing experiences;synthesize;orchid Home Loan Account;Kenyan Shilling;Aruban Guilder Guam Florida;Key Puerto Rico;generate;Buckinghamshire Corporate Auto Loan Account;backing up Interactions;asymmetric Berkshire Car;bandwidth;black Plastic;Oklahoma;withdrawal Soft Refined;purple;capacitor
